Id,TagName,Count,ExcerptPostId,WikiPostId
488,rattle,3,17451,17450
491,embeddings,17,,
499,ocr,15,25247,25246
502,linear-algebra,16,,
504,similar-documents,21,,
505,representation,8,,
510,lda-classifier,5,,
511,perceptron,28,,
512,automatic-summarization,7,,
513,nvidia,7,,
514,alex-net,5,,
519,smote,11,,
520,class-imbalance,44,,
521,dataframe,47,,
522,classifier,18,,
524,vector-space-models,8,,
527,lstm,249,25536,25535
528,forecasting,31,,
530,mnist,30,25538,25537
532,tfidf,21,,
533,learning-rate,7,,
534,twitter,6,,
535,cloud,3,,
537,batch-normalization,14,22487,22486
538,word,4,,
539,generative-models,35,,
550,game,7,23308,23307
552,ngrams,7,,
554,meta-learning,5,,
555,ensemble,11,,
556,pac-learning,4,24318,24317
557,cnn,245,28890,28889
558,tranformation,5,,
559,seaborn,15,,
560,historgram,4,,
561,counts,2,,
562,numpy,56,,
564,activation-function,35,,
565,cloud-computing,5,,
566,homework,8,,
567,keras-rl,1,24515,24514
568,openai-gym,4,,
569,dqn,15,,
570,mini-batch-gradient-descent,17,,
571,neural-style-transfer,4,,
572,noise,6,,
575,yolo,12,,
576,ibm-watson,4,,
577,speech-to-text,10,,
580,matplotlib,24,,
581,tflearn,13,,
582,learning-to-rank,6,,
583,anomaly,3,,
584,actor-critic,5,,
585,grid-search,14,,
586,hyperparameter-tuning,23,,
587,bayes-error,5,35927,35926
588,transfer-learning,26,26090,26089
591,kernel,23,,
593,reshape,6,,
594,project-planning,3,,
596,scipy,10,,
598,bias,11,,
599,markov-hidden-model,11,,
600,math,11,,
601,recurrent-neural-net,44,,
602,sequence-to-sequence,20,,
603,natural-language-process,47,30094,30093
605,svr,5,,
606,vgg16,5,,
607,object-detection,27,,
608,automation,3,,
609,glorot-initialization,2,,
610,faster-rcnn,7,,
611,ensemble-learning,9,,
612,k-nn,30,,
613,hardware,6,,
614,ai,3,,
617,colab,5,,
618,data-science-model,51,,
619,machine-learning-model,69,,
621,mlp,12,,
622,resolution,1,,
623,annotation,7,,
624,normal-equation,5,,
625,information-leakage,1,,
626,data-snooping,1,,
627,metric,20,,
628,data-analysis,24,,
629,self-driving,2,,
630,generalization,5,,
631,boosting,10,,
632,objective-function,3,,
633,predictor-importance,8,,
634,momentum,2,,
635,data-drift,1,,
636,mesos,1,,
637,weight-initialization,2,,
639,sensitivity-analysis,1,,
640,dplyr,1,,
641,epochs,4,,
644,cs231n,2,,
645,gridsearchcv,5,,
646,sensors,2,,
647,stopwords,1,,
648,keystroke,1,,
649,reci,1,,
650,pymc,1,,
651,mcmc,1,,
652,probabilistic-programming,3,,
653,crisp-dm,1,,
656,policy-gradients,7,,
660,stacked-lstm,1,,
662,ndcg,1,,
663,fastai,1,,
664,pipelines,1,,
667,nlg,1,36831,36830
668,documentation,1,,
669,heatmap,1,,
670,deep-network,5,,
671,collinearity,2,,
